"","gage_id","minGoodQ_cfs","daysSubGood_prc"
"1","01011000",195,0.00102676432336231
"2","01013500",69.6,0.00280648915052365
"3","01015800",2,0
"4","01016500",26.4,0
"5","01017000",86,0.000136901909781641
"6","01017060",2.36,0.158881042911461
"7","01017290",14.8,0
"8","01017550",0.74,0.0635714285714286
"9","01017960",5.44,0.025673249551167
"10","01018000",15,0.011633964229901
"11","01018009",1.11,0.114618369987063
"12","01019000",102,0.000752960503799028
"13","01021200",32.6,0.00193661971830986
"14","01021470",4.84,0.0834980988593156
"15","01021480",5.9,0.0981496379726468
"16","01021500",397,0.370860927152318
"17","01022260",29.4,0.0766755281936477
"18","01022330",23.9,0.0291431056981296
"19","01022500",32.5,0.0101307413238415
"20","01023000",6.95,0
"21","01027200",27.7,0.0199052132701422
"22","01029200",24,0.0592426441483045
"23","01029500",427,0.033452380952381
"24","01030000",427,0
"25","01030500",45.1,0.00355944965432268
"26","01031300",13.6,0.0605463942899335
"27","01031450",43.7,0.274144098109351
"28","01031500",23.8,0.0241631870764597
"29","01031510",2.49,0.0401564537157758
"30","01033000",18,0
"31","01034000",288,0.0752572187188848
"32","01034500",3560,0.0231364227530974
"33","01037380",0.02,0.0138500466107338
"34","01038000",11,0.0175234444520501
"35","01041000",1800,0.511143062544932
"36","01042500",245,0.00219043055650626
"37","01043500",105,0.125123803235391
"38","01044550",22.7,0.00761421319796954
"39","01046000",17.9,0.078748370273794
"40","01046500",500,0
"41","01047000",46.6,0.00800876172222603
"42","01047150",2580,0.104494382022472
"43","01047200",5.52,0.0312907431551499
"44","01048000",49.2,0.00933389902418328
"45","01048220",1.7,0.0395860284605433
"46","01049000",40.1,0.0199338165773716
"47","01049265",2220,0.0105376700962496
"48","01049500",17.4,0.0148538572113081
"49","01052500",40.4,0.0410021219796016
"50","01053500",217,0
"51","01053600",1120,0.0152284263959391
"52","01054000",840,6.84509548908207e-05
"53","01054200",7.92,0.00150592100759806
"54","01054300",11.9,0.00524017467248908
"55","01054500",1370,0.00684509548908207
"56","01055000",5.22,0.00239578342117873
"57","01055500",16.9,0.0107443164123326
"58","01057000",0.84,0.00109521527825313
"59","01059000",1430,0.00992538845916901
"60","01059800",13.4,0.227842435094002
"61","01060000",33.1,0.0438064859117491
"62","01064000",67.7,0.00830815709969789
"63","01064118",306,0.0433842605938311
"64","01064300",4.35,0.00659223817118554
"65","01064400",2.42,0.219317949765162
"66","01064500",92.6,0.00143747005270724
"67","01064801",6.22,0.00914407230196704
"68","01065000",174,0.0601258447914239
"69","01065500",171,0.0103347215795157
"70","01066000",260,0.000889862413580669
"71","01066500",96,0.235590778097983
"72","01067950",6.02,0.112091333679294
"73","01068910",8.61,0.00229650421025772
"74","01069500",23.2,0.0878950094974961
"75","01069700",4.07,0
"76","01072800",2.5,0.00126349643923731
"77","01072870",3.94,0.0300143781452193
"78","01073000",0.19,0.00225888151139708
"79","01073319",0.46,0.00338983050847458
"80","01073500",0.39,0
"81","010735562",0.006,0.0234791889007471
"82","01073587",2.43,0.0559474580394065
"83","01073785",0.24,0.00514950166112957
"84","01074520",49.5,0.0170786040097592
"85","01075000",47.2,0.00126984126984127
"86","01075800",0.12,0.0450575350062387
"87","01076000",10.8,0.000793650793650794
"88","01076500",49.5,0
"89","01077000",9.05,0.0403792708844205
"90","01077400",2.27,0.0587453482190324
"91","01078000",4.34,0.0016428229173797
"92","01081000",53.2,0.000889862413580669
"93","01081500",536,0.0173015873015873
"94","01082000",3.71,0.000476190476190476
"95","01083000",3.43,0.00611309220580744
"96","01084000",0.59,0
"97","01085000",26.4,0
"98","01085500",26.5,0.000929944203347799
